MapVersion,SectionId,FromAddressId,ToAddressId,SectionPosition,AllowVehiclePosition,AllowCargoPosition,VehicleSpeedUnload,VehicleSpeedLoaded,VehicleSpeedEnforce
2025121101,10007,102701200,102701300,0,0/180,0/180,1200,1000,0
2025121101,10009,102701200,102901200,90,90/270,0/180,1200,1000,0
2025121101,10006,102701300,102601300,270,90/270,0/180,1200,1000,0
2025121101,10003,102701300,102701200,180,0/180,0/180,1200,1000,0
2025121101,10005,102701300,102701400,0,0/180,0/180,1200,1000,0
2025121101,10004,102701300,102901300,90,90/270,0/180,1200,1000,0
2025121101,10638,102701400,102701300,180,0/180,0/180,1200,1000,0
2025121101,10639,102701400,102701700,0,0/180,0/180,1200,1000,0
2025121101,10030,102701700,102601700,270,90/270,0/180,1200,1000,0
2025121101,10031,102701700,102701400,180,0/180,0/180,1200,1000,0
2025121101,10029,102701700,102901700,90,90/270,0/180,1200,1000,0
2025121101,10097,102900100,102700100,270,90/270,0/180,1200,1000,0
2025121101,10096,102900100,102900200,0,0/180,0/180,1200,1000,0
2025121101,10091,102900200,102700200,270,90/270,0/180,1200,1000,0
2025121101,10092,102900200,102900100,180,0/180,0/180,1200,1000,0
2025121101,10090,102900200,102900300,0,0/180,0/180,1200,1000,0
2025121101,10084,102900300,102700300,270,90/270,0/180,1200,1000,0
2025121101,10085,102900300,102900200,180,0/180,0/180,1200,1000,0
2025121101,10083,102900300,102900400,0,0/180,0/180,1200,1000,0
2025121101,10077,102900400,102700400,270,90/270,0/180,1200,1000,0
2025121101,10078,102900400,102900300,180,0/180,0/180,1200,1000,0
2025121101,10076,102900400,102900500,0,0/180,0/180,1200,1000,0
2025121101,10070,102900500,102700500,270,90/270,0/180,1200,1000,0
2025121101,10071,102900500,102900400,180,0/180,0/180,1200,1000,0
2025121101,10069,102900500,102900600,0,0/180,0/180,1200,1000,0
2025121101,10063,102900600,102700600,270,90/270,0/180,1200,1000,0
2025121101,10064,102900600,102900500,180,0/180,0/180,1200,1000,0
2025121101,10062,102900600,102900700,0,0/180,0/180,1200,1000,0
2025121101,10055,102900700,102700700,270,90/270,0/180,1200,1000,0
2025121101,10056,102900700,102900600,180,0/180,0/180,1200,1000,0
2025121101,10054,102900700,102900800,0,0/180,0/180,1200,1000,0
2025121101,10047,102900800,102700800,270,90/270,0/180,1200,1000,0
2025121101,10049,102900800,102900700,180,0/180,0/180,1200,1000,0
2025121101,10048,102900800,102900900,0,0/180,0/180,1200,1000,0
2025121101,10044,102900900,102700900,270,90/270,0/180,1200,1000,0
2025121101,10046,102900900,102900800,180,0/180,0/180,1200,1000,0
2025121101,10045,102900900,102901000,0,0/180,0/180,1200,1000,0
2025121101,10057,102900900,103000900,90,90/270,,1200,1000,0
2025121101,10041,102901000,102701000,270,90/270,0/180,1200,1000,0
